name,rating,review,address,plus code,website,phone,photoUrl
Atlas New York,5.0,8 reviews,"66 W 38th St, New York, NY 10018",Q227+RQ New York,atlasny.com,(212) 402-5300,https://lh5.googleusercontent.com/p/AF1QipMgkv-qGYIBhND5MOv_NuMmOsQDjKTsGcPRlsop=w140-h186-k-no
95 Wall,4.0,44 reviews,"95 Wall St, New York, NY 10005",PX3V+X2 New York,udr.com,(646) 783-0839,https://lh3.googleusercontent.com/proxy/qpQ9iWDDiprKqqCVWg9A_-BrQaYZP9etdPbQjrpgZtXBHzxHY2Uavd9snQNKfcDiRRAO2uhCfAOoT0lTrOvmuRW4lBipE2wL7ATfzWyULot_s5nEpP0K4I5n1pwVIodcm4kWp-R6jin0BLQnKpt1hoQPTTQC5w=w114-h167-k-no
Mercedes House,3.3,30 reviews,"550 W 54th St, New York, NY 10019",Q295+35 New York,mercedeshouseny.com,(212) 876-6666,https://lh3.googleusercontent.com/proxy/lKmiHxHVCcrtT8PIBSqobHaZe_USwg7IK27EK5ZYfSDmOjCFgikPM_Kp6WpvfdzqlR3W1QENj11-nFYtHHFm0Tz5J-3K5ZIvNubLVz-qCDxjCxfVBdjolKW6P3AI4w8V6-PiTP7lVIFT9FxlimkUq1r7uzA2MAk=w213-h120-k-no
Avalon Midtown West,4.7,91 reviews,"250 W 50th St, New York, NY 10019",Q267+QM New York,avaloncommunities.com,(646) 507-5167,https://lh5.googleusercontent.com/p/AF1QipMgaQdsKzcmBXX1vjccmgy3FZfHscR1Ke6jY51K=w114-h120-k-no-pi-6.707483-ya47.36641-ro-0.8322629-fo100
The Westport Luxury Apartments,4.6,10 reviews,"500 W 56th St, New York, NY 10019",Q296+76 New York,relatedrentals.com,(646) 992-4141,https://geo2.ggpht.com/cbk?panoid=FxMYGCl6RY6zZb-L6eVfkA&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=171.34506&pitch=0&thumbfov=100
New York by Gehry,4.4,94 reviews,"8 Spruce St, New York, NY 10038",PX6V+8P New York,newyorkbygehry.com,(212) 877-2220,https://geo2.ggpht.com/cbk?panoid=vNerqiAzNUEFgC0-M7SRaw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=225.89381&pitch=0&thumbfov=100
The Dakota,4.4,393 reviews,"1 W 72nd St, New York, NY 10023",Q2GF+JG New York,-,(212) 362-1448,https://lh5.googleusercontent.com/p/AF1QipNsBsL0Gg7_Slfgpu2ZkYeA7Eb-m5UmVLZyNBEv=w211-h120-k-no-pi-22.546875-ya339.10938-ro-0-fo100
Oakwood New York,4.0,1 review,"888 6th Ave, New York, NY 10001",P2X6+7H New York,oakwood.com,(877) 634-0512,https://geo2.ggpht.com/cbk?panoid=f4Q5v3Qu7OWp_sDSUxqJ_g&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=148.06169&pitch=8.196001&thumbfov=100
Columbus Square,4.9,150 reviews,"808 Columbus Avenue, New York, NY 10025",Q2VM+H3 New York,udr.com,(646) 783-0783,https://lh5.googleusercontent.com/p/AF1QipN-vOngv38bpqO3cJjpwc-4_gmALxd-x_Rbf6aN=w114-h120-k-no-pi-2.9338646-ya1.6297985-ro-0-fo100
Avalon West Chelsea,4.7,82 reviews,"282 11th Ave, New York, NY 10001",QX2W+V8 New York,avaloncommunities.com,(646) 640-2375,https://lh5.googleusercontent.com/p/AF1QipPj-2Bht5SDYybcM0EsEx-Nv8pD2z0Cns5ipcki=w114-h120-k-no-pi-3.551238-ya149.61028-ro-0.63022214-fo100
Gateway Battery Park City Apartments,2.9,72 reviews,"389 South End Ave, New York, NY 10280",PX6M+GJ New York,gatewayny.com,(844) 666-6260,https://lh5.googleusercontent.com/p/AF1QipOn3gR17DHiH1v506X3PL6bcXY--4JCHLOzE8oJ=w211-h120-k-no-pi-30.000002-ya273.09375-ro0-fo100
The Eugene Apartments,3.2,125 reviews,"435 W 31st St, New York, NY 10001",Q222+WF New York,theeugenenyc.com,(646) 960-3464,https://lh3.googleusercontent.com/proxy/bC0CPlVcc40UuMm5j5nG2sVMElLNDcglLe3Xle4CmfbHAPMewCsmyifT6NPBm8Nydqp-iZ5ndJLA3RP8iBShC-TFFQFVZb-PR2TpfpuOUus3cVMRam0KwyVYFxeiK5xQ7XJV7ic_KghJXA5JXexbDyM3APuLHMs=w160-h120-k-no
Metro Apartments,3.8,24 reviews,"440 W 41st St, New York, NY 10036",Q254+83 New York,-,(212) 706-2082,https://geo3.ggpht.com/cbk?panoid=XE4LKlc-LI34E2dOqng9fQ&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=211.52487&pitch=0&thumbfov=100
The Cole Apartments,3.5,15 reviews,"354 E 91st St, New York, NY 10128",Q3J3+22 New York,thecolenyc.com,(212) 426-4444,https://lh3.googleusercontent.com/proxy/3ZvjkybDKebwxx8ikorSyoxU0X49nyrfYJsdccwGVrgbM28UhMNiL_sg-YxwhMdNaXvra27nA-to_mU_TLX0jA8reZSbrFF_7nZbVTzGdYSN59Uc0LodZisfac-LB6mX1ViXlhIlGwD4QsNApDvtOAOrsNXiEA=w114-h171-k-no
